Montreal Wanderers,MTW,nhl
1917-18,1918
12
6
0
GP,Date,Time,Location,Opponent,GF,GA,Result,Game Ended In
1,1917-12-19,time unavailable,H,Toronto Arenas,10,9,W,REG,1,0,0,W 1
2,1917-12-22,time unavailable,H,Montreal Canadiens,2,11,L,REG,1,1,0,L 1
3,1917-12-26,time unavailable,H,Ottawa Senators,3,6,L,REG,1,2,0,L 2
4,1917-12-29,time unavailable,@,Ottawa Senators,2,9,L,REG,1,3,0,L 3
5,1918-01-02,time unavailable,@,Montreal Canadiens,0,1,L,REG,1,4,0,L 4,forfeit to Montreal Canadiens
6,1918-01-05,time unavailable,@,Toronto Arenas,0,1,L,REG,1,5,0,L 5,forfeit to Toronto

Time,Location,Result,Game Ended In

Billy Bell,,n/a,F,26,5-10,180,R/-,R,"June 10, 1891",ca,"1 G, 0 A, 1 P"
Gerry Geran,,n/a,F,21,5-9,180,R/-,R,"August 3, 1896",us,"0 G, 0 A, 0 P"
Harry Hyland,,n/a,RW,29,5-6,156,R/-,R,"January 2, 1889",ca,"6 G, 1 A, 7 P"
Bert Lindsay,,n/a,G,36,5-7,160,-/R,R,"July 23, 1881",ca,"1-3-0, 8.75 GAA"
Jack Marks,,n/a,LW,32,6-0,180,L/-,R,"June 11, 1885",ca,"0 G, 0 A, 0 P"
Jack McDonald,,n/a,C,30,-/-,R,"February 28, 1887","3 G, 1 A, 4 P",ca
George O'Grady,,n/a,F,26,5-8,175,L/-,R,"June 8, 1891",ca,"0 G, 0 A, 0 P"
Dave Ritchie,,n/a,D,26,5-7,180,R/-,R,"January 12, 1892",ca,"5 G, 2 A, 7 P"
Art Ross,,n/a,D,32,5-11,190,L/-,R,"January 13, 1886",ca,"1 G, 0 A, 1 P"
Raymie Skilton,,n/a,C,28,5-10,190,R/-,R,"September 26, 1889",us,"0 G, 0 A, 0 P"
Phil Stevens,,n/a,D,24,5-11,165,R/-,R,"February 15, 1893",ca,"1 G, 0 A, 1 P"
Ken Thompson,,n/a,F,36,5-10,160,L/-,R,"May 29, 1881",gb,"0 G, 0 A, 0 P"
